POA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA6343,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,4,0,8
POA6346,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,5,7,0,14
POA6348,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,3,6,13,0,18
POA6350,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,10
POA6351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7
POA6353,0,0,0,0,0,0,0,0,0,9,7,0,10,0,0,0,10,9,0,17
POA6355,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,6
POA6356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6358,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3
POA6359,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,4
POA6361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6365,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,0,3,3,0,11
POA6367,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,12,5,0,13
POA6368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6369,0,0,0,0,0,0,0,0,0,3,4,0,9,0,0,0,9,0,0,13
POA6370,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,7,0,0,12
POA6372,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3
POA6373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6375,0,0,0,0,0,0,0,0,0,13,4,0,15,0,3,3,20,12,0,29
POA6383,0,0,0,0,0,0,0,0,0,3,5,0,8,0,3,3,9,26,0,42
POA6384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA6390,0,0,0,0,0,0,0,0,0,22,12,6,33,3,3,3,41,27,4,71
POA6391,0,0,0,0,0,0,0,0,0,9,3,0,10,0,0,0,11,7,0,27
POA6392,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,8,9,0,13
POA6393,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
POA6394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
POA6395,0,0,0,0,0,0,0,0,0,18,12,0,24,0,0,0,24,26,0,53
POA6396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7
POA6397,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,3
POA6398,0,0,0,0,0,0,0,0,0,4,3,0,9,0,0,0,5,3,0,12
POA6401,0,0,0,3,3,4,7,3,11,91,76,3,168,13,14,28,198,166,3,368
POA6403,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,3
POA6405,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,8
POA6407,0,0,0,0,0,0,0,0,0,5,3,0,14,0,3,4,13,12,0,33
POA6409,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,8,6,0,11
POA6410,0,0,0,0,0,0,0,0,0,4,12,0,19,3,0,4,26,22,0,50
POA6411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6413,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4
POA6414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6415,0,0,0,0,0,0,3,0,3,23,28,4,57,7,3,7,66,43,3,109
POA6418,0,0,0,0,0,0,0,0,0,7,0,0,10,0,0,0,10,7,0,21
POA6419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6421,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,5
POA6422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA6424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6426,0,0,0,0,0,0,0,3,4,16,0,4,20,5,0,4,28,18,3,41
POA6427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6429,0,0,0,0,0,0,0,0,3,8,5,0,16,4,0,4,24,27,0,52
POA6430,0,5,0,0,0,4,7,9,22,269,120,19,412,18,16,38,447,214,6,673
POA6431,0,0,0,0,0,0,0,0,0,8,3,0,10,5,5,9,19,24,0,45
POA6432,0,3,0,3,3,3,0,0,8,100,62,6,175,25,9,34,204,104,10,318
POA6434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
POA6436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
POA6437,0,0,0,0,0,0,0,0,0,10,3,0,12,0,0,0,12,0,0,12
POA6438,0,0,0,0,0,0,0,0,0,8,3,0,9,3,0,3,10,11,0,25
POA6440,0,0,0,0,0,0,0,0,0,4,0,0,8,5,0,5,9,23,0,33
POA6442,0,3,0,0,0,3,0,0,3,39,11,3,49,4,0,8,56,35,3,93
POA6443,0,0,0,0,0,0,3,0,4,6,7,0,14,4,0,7,21,16,0,38
POA6445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
POA6446,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3
POA6447,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
POA6448,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,8
POA6450,0,4,0,0,0,4,7,7,22,121,124,10,261,16,4,20,282,173,17,471
POA6452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6460,0,0,0,0,0,0,0,0,0,7,4,0,13,0,3,3,13,11,0,21
POA6461,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,7,15,0,18
POA6462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6468,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,7
POA6470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
POA6473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6475,0,0,0,0,0,0,0,0,0,3,4,0,12,0,0,0,11,6,0,14
POA6476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6477,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,0,10
POA6479,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,5,4,0,13
POA6480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6485,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,9,6,0,14
POA6487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
POA6489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5
POA6501,0,0,0,0,0,0,0,0,0,7,4,0,12,0,0,3,16,14,0,30
POA6502,0,0,0,0,0,0,0,0,0,10,8,3,16,3,0,3,17,12,0,36
POA6503,0,3,0,0,0,3,0,0,3,14,19,0,40,0,0,0,38,25,0,58
POA6504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA6505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA6506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6507,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,5
POA6509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6510,0,0,0,0,0,0,3,0,3,8,23,3,35,3,3,5,38,37,0,73
POA6511,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,3,5,0,11
POA6512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4
POA6514,0,0,0,0,0,0,0,0,0,0,3,0,12,3,0,3,10,6,0,17
POA6515,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,5
POA6516,0,0,0,0,0,0,0,0,0,10,22,0,30,3,0,7,39,28,0,64
POA6517,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,8,0,0,6
